StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,comp_acc,comp_rel,pair1_rel_c,pair1_conf_c,pair2_rel_c,pair2_conf_c,pair3_rel_c,pair3_conf_c,pair4_rel_c,pair4_conf_c,pair5_rel_c,pair5_conf_c,pair6_rel_c,pair6_conf_c,pair7_rel_c,pair7_conf_c,pair8_rel_c,pair8_conf_c,pair1_rel_t,pair1_conf_t,pair2_rel_t,pair2_conf_t,pair3_rel_t,pair3_conf_t,pair4_rel_t,pair4_conf_t,pair5_rel_t,pair5_conf_t,pair6_rel_t,pair6_conf_t,pair7_rel_t,pair7_conf_t,pair8_rel_t,pair8_conf_t,ed_level,political_affiliatio,political_affiliatio_4_TEXT,gender,gender_5_TEXT,Comprehension,Free-form feedback,Random ID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Your task is to determine the accuracy of the news article.,Your task is to determine if the fact-check is relevant to the news article.,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,Is the fact-check relevant to the news article claim?,How confident are you in your assessment of the relevance?,What is the highest level of school you have completed or the highest degree you have received?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text",What best describes your gender identity? - Selected Choice,What best describes your gender identity? - Prefer to self-describe - Text,Did you understand the instructions in this survey?,This was a pilot survey and we would love to hear some feedback so we can improve in the future. Please put any additional comments in the box below.,Random ID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106""}","{""ImportId"":""QID128""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID147""}","{""ImportId"":""QID148""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124""}","{""ImportId"":""QID124_4_TEXT""}","{""ImportId"":""QID125""}","{""ImportId"":""QID125_5_TEXT""}","{""ImportId"":""QID130""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2019-11-20 17:13:26,2019-11-20 17:15:03,1,100,97,1,2019-11-20 17:15:03,R_tVTt4YNkfZvphfP,preview,EN,24,23,,,,,,,,,,,,,,,,,1,3,1,2,1,3,2,2,2,4,1,1,2,1,1,3,6,2,,2,,16,,65888,
2019-11-20 17:16:51,2019-11-20 17:18:36,1,100,104,1,2019-11-20 17:18:36,R_1Nq1KOcpkCdooXj,preview,EN,23,24,2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,6,3,,1,,16,,34071,
2019-11-20 17:23:58,2019-11-20 17:24:05,0,100,6,1,2019-11-20 17:24:05,R_D9acqmn59tTxDhv,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:24:12,2019-11-20 17:26:13,0,100,121,1,2019-11-20 17:26:14,R_3NCnfkMDVgUfI4t,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,4,1,3,1,2,1,2,1,3,1,3,2,1,2,2,2,2,,2,,16,,13239,
2019-11-20 17:25:39,2019-11-20 17:28:37,0,100,178,1,2019-11-20 17:28:38,R_vukKw7cqFLqLi6t,anonymous,EN,24,23,1,2,1,3,1,3,1,1,2,2,1,3,2,1,2,1,,,,,,,,,,,,,,,,,3,2,,1,,16,,14155,
2019-11-20 17:29:54,2019-11-20 17:30:16,0,100,21,1,2019-11-20 17:30:17,R_2UgDynZTGI4jQFj,anonymous,EN,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-20 17:27:13,2019-11-20 17:30:45,0,100,211,1,2019-11-20 17:30:45,R_3izfgsUcyJbH16n,anonymous,EN,24,23,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,,,,,,,,,,,,,,,,,5,3,,2,,16,I thought the survey was very straightforward and mildly entertaining.,20117,
2019-11-20 17:28:32,2019-11-20 17:31:46,0,100,193,1,2019-11-20 17:31:46,R_1ddhKlW1OYt81kt,anonymous,EN,24,23,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,3,1,1,2,1,2,1,5,2,,2,,16,,30463,
